source,url,brand,model,year,price,engine_brand,engine_hp,hours,region,first_seen,status
demo,https://example.invalid/demo/ryds-0123,Ryds,548,2014,158000,Yamaha,103,646,Västra Götaland,2026-06-07,active
demo,https://example.invalid/demo/ryds-0124,Ryds,548,2022,270000,Yamaha,74,558,Värmland,2026-06-05,removed
demo,https://example.invalid/demo/anytec-0125,Anytec,750,2018,761000,Yamaha,264,595,Östergötland,2026-06-08,active
demo,https://example.invalid/demo/anytec-0126,Anytec,750,2021,966000,Mercury,242,204,Stockholm,2026-06-15,active
demo,https://example.invalid/demo/anytec-0127,Anytec,750,2016,593000,Yamaha,345,552,Halland,2026-07-14,removed
demo,https://example.invalid/demo/anytec-0128,Anytec,750,2013,516000,Mercury,333,156,Östergötland,2026-05-22,active
demo,https://example.invalid/demo/anytec-0129,Anytec,750,2017,720000,Mercury,339,87,Stockholm,2026-07-23,active
demo,https://example.invalid/demo/anytec-0130,Anytec,750,2014,506000,Mercury,254,367,Östergötland,2026-05-20,active
demo,https://example.invalid/demo/anytec-0131,Anytec,750,2013,502000,Yamaha,303,167,Blekinge,2026-07-07,active
demo,https://example.invalid/demo/anytec-0132,Anytec,750,2017,628000,Mercury,261,631,Blekinge,2026-07-06,active
demo,https://example.invalid/demo/anytec-0133,Anytec,750,2016,541000,Mercury,303,97,Stockholm,2026-07-09,active
demo,https://example.invalid/demo/anytec-0134,Anytec,750,2019,810000,Yamaha,234,412,Västra Götaland,2026-06-28,active
demo,https://example.invalid/demo/anytec-0135,Anytec,750,2023,968000,Yamaha,287,597,Kalmar,2026-05-23,active
demo,https://example.invalid/demo/anytec-0136,Anytec,750,2018,663000,Yamaha,274,420,Kalmar,2026-06-24,removed
demo,https://example.invalid/demo/anytec-0137,Anytec,750,2018,621000,Mercury,344,318,Västra Götaland,2026-06-02,active
demo,https://example.invalid/demo/anytec-0138,Anytec,750,2017,567000,Yamaha,234,534,Västra Götaland,2026-06-29,removed
demo,https://example.invalid/demo/anytec-0139,Anytec,750,2015,575000,Yamaha,268,231,Östergötland,2026-06-16,active
demo,https://example.invalid/demo/anytec-0140,Anytec,750,2019,812000,Yamaha,265,632,Värmland,2026-07-09,active
demo,https://example.invalid/demo/anytec-0141,Anytec,750,2015,565000,Mercury,281,238,Stockholm,2026-06-22,active
demo,https://example.invalid/demo/flipper-0142,Flipper,640,2015,267000,Yamaha,167,706,Uppsala,2026-06-12,active
demo,https://example.invalid/demo/flipper-0143,Flipper,640,2016,272000,Yamaha,185,87,Halland,2026-05-11,removed
demo,https://example.invalid/demo/flipper-0144,Flipper,640,2019,416000,Mercury,120,708,Kalmar,2026-05-08,active
demo,https://example.invalid/demo/flipper-0145,Flipper,640,2011,214000,Suzuki,182,574,Uppsala,2026-07-12,active
demo,https://example.invalid/demo/flipper-0146,Flipper,640,2016,310000,Suzuki,179,577,Uppsala,2026-06-09,removed
demo,https://example.invalid/demo/flipper-0147,Flipper,640,2016,259000,Yamaha,149,168,Kalmar,2026-05-14,removed
demo,https://example.invalid/demo/flipper-0148,Flipper,640,2010,202000,Yamaha,141,689,Värmland,2026-06-11,active
demo,https://example.invalid/demo/flipper-0149,Flipper,640,2013,209000,Suzuki,185,629,Uppsala,2026-07-26,removed
demo,https://example.invalid/demo/flipper-0150,Flipper,640,2010,185000,Yamaha,197,200,Halland,2026-06-03,active
demo,https://example.invalid/demo/flipper-0151,Flipper,640,2015,320000,Suzuki,124,820,Kalmar,2026-06-03,active
demo,https://example.invalid/demo/flipper-0152,Flipper,640,2017,303000,Suzuki,118,955,Västra Götaland,2026-06-27,active
demo,https://example.invalid/demo/flipper-0153,Flipper,640,2014,263000,Suzuki,155,498,Kalmar,2026-05-15,active
demo,https://example.invalid/demo/flipper-0154,Flipper,640,2015,252000,Mercury,189,428,Halland,2026-06-12,removed
demo,https://example.invalid/demo/flipper-0155,Flipper,640,2020,462000,Mercury,197,928,Blekinge,2026-06-21,active
demo,https://example.invalid/demo/flipper-0156,Flipper,640,2019,369000,Suzuki,119,579,Stockholm,2026-07-04,active
demo,https://example.invalid/demo/flipper-0157,Flipper,640,2013,207000,Suzuki,167,859,Östergötland,2026-07-03,removed
demo,https://example.invalid/demo/flipper-0158,Flipper,640,2018,392000,Yamaha,152,936,Kalmar,2026-06-07,active
demo,https://example.invalid/demo/flipper-0159,Flipper,640,2019,320000,Yamaha,168,760,Blekinge,2026-07-17,removed
demo,https://example.invalid/demo/maxi-0160,Maxi,77,1980,94000,Volvo Penta,12,934,Halland,2026-06-10,removed
demo,https://example.invalid/demo/maxi-0161,Maxi,77,1976,105000,Yanmar,19,430,Kalmar,2026-05-22,active
demo,https://example.invalid/demo/maxi-0162,Maxi,77,1976,115000,Yanmar,16,2203,Södermanland,2026-06-02,active
demo,https://example.invalid/demo/maxi-0163,Maxi,77,1977,118000,Volvo Penta,18,1831,Halland,2026-07-02,active
demo,https://example.invalid/demo/maxi-0164,Maxi,77,1984,125000,Volvo Penta,19,2013,Stockholm,2026-07-07,active
demo,https://example.invalid/demo/maxi-0165,Maxi,77,1976,101000,Volvo Penta,13,695,Västra Götaland,2026-07-12,removed
demo,https://example.invalid/demo/maxi-0166,Maxi,77,1980,111000,Yanmar,20,2720,Värmland,2026-05-21,active
demo,https://example.invalid/demo/maxi-0167,Maxi,77,1983,114000,Volvo Penta,17,476,Stockholm,2026-06-04,active
demo,https://example.invalid/demo/maxi-0168,Maxi,77,1981,122000,Yanmar,12,1476,Värmland,2026-06-18,active
demo,https://example.invalid/demo/maxi-0169,Maxi,77,1980,127000,Volvo Penta,8,670,Stockholm,2026-07-07,active
demo,https://example.invalid/demo/maxi-0170,Maxi,77,1978,103000,Volvo Penta,14,877,Kalmar,2026-06-12,removed
demo,https://example.invalid/demo/maxi-0171,Maxi,77,1986,137000,Yanmar,11,1333,Skåne,2026-06-02,active
demo,https://example.invalid/demo/maxi-0172,Maxi,77,1983,111000,Yanmar,8,1476,Värmland,2026-07-12,active
demo,https://example.invalid/demo/maxi-0173,Maxi,77,1979,120000,Volvo Penta,12,554,Skåne,2026-05-24,active
demo,https://example.invalid/demo/maxi-0174,Maxi,77,1980,133000,Volvo Penta,8,989,Södermanland,2026-06-04,active
demo,https://example.invalid/demo/maxi-0175,Maxi,77,1975,111000,Volvo Penta,17,2909,Södermanland,2026-06-13,active
demo,https://example.invalid/demo/albin-0176,Albin,Vega,1977,44000,Volvo Penta,9,1182,Uppsala,2026-07-11,removed
demo,https://example.invalid/demo/albin-0177,Albin,Vega,1968,49000,Volvo Penta,10,942,Halland,2026-07-30,active
demo,https://example.invalid/demo/albin-0178,Albin,Vega,1968,51000,Yanmar,12,3535,Halland,2026-06-02,active
demo,https://example.invalid/demo/albin-0179,Albin,Vega,1968,51000,Volvo Penta,14,1922,Västra Götaland,2026-07-31,active
demo,https://example.invalid/demo/albin-0180,Albin,Vega,1974,45000,Yanmar,9,3085,Östergötland,2026-06-14,removed
demo,https://example.invalid/demo/albin-0181,Albin,Vega,1968,36000,Volvo Penta,17,3842,Blekinge,2026-07-19,removed
demo,https://example.invalid/demo/albin-0182,Albin,Vega,1971,47000,Yanmar,8,3257,Uppsala,2026-07-10,active
demo,https://example.invalid/demo/albin-0183,Albin,Vega,1974,48000,Volvo Penta,19,3044,Östergötland,2026-06-19,active
demo,https://example.invalid/demo/albin-0184,Albin,Vega,1979,55000,Volvo Penta,19,1697,Halland,2026-07-17,active
demo,https://example.invalid/demo/albin-0185,Albin,Vega,1971,48000,Yanmar,13,3210,Skåne,2026-05-26,active
demo,https://example.invalid/demo/albin-0186,Albin,Vega,1968,46000,Volvo Penta,10,3584,Uppsala,2026-06-11,removed
demo,https://example.invalid/demo/albin-0187,Albin,Vega,1977,48000,Yanmar,18,3632,Östergötland,2026-05-27,active
demo,https://example.invalid/demo/albin-0188,Albin,Vega,1970,43000,Yanmar,7,2668,Södermanland,2026-07-10,active
demo,https://example.invalid/demo/albin-0189,Albin,Vega,1979,44000,Volvo Penta,13,3846,Värmland,2026-06-27,removed
demo,https://example.invalid/demo/albin-0190,Albin,Vega,1971,51000,Volvo Penta,11,3126,Östergötland,2026-06-21,active
